,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
102,전라남도,담양군,455096496,29850733,425245763,Jeollanam-do,Damyang,35.3211394,126.9881673,35.4656805,127.117358,35.116293,126.8516372,35.4656805,127.117358,35.116293,126.8516372,호남권,43781,Town
103,전라남도,곡성군,547478384,52325194,495153190,Jeollanam-do,Gokseong,35.2819553,127.2919175,35.3347748,127.4126999,35.0699494,127.082326,35.3347748,127.4126999,35.0699494,127.082326,호남권,28768,Town
104,전라남도,구례군,443260500,45805554,397454946,Jeollanam-do,Gurye,35.2024947,127.4626534,35.3690454,127.6247576,35.0955786,127.3669157,35.3690454,127.6247576,35.0955786,127.3669157,호남권,24420,Town
105,전라남도,고흥군,807348327,79185372,728162955,Jeollanam-do,Goheung,34.6112219,127.284978,34.8282043,127.5479157,34.296269,127.0479599,34.8282043,127.5479157,34.296269,127.0479599,호남권,60984,Town
106,전라남도,보성군,663903340,151656250,512247090,Jeollanam-do,Boseong,34.7714563,127.0798944,34.9874374,127.5077323,34.6194515,126.9744529,34.9874374,127.5077323,34.6194515,126.9744529,호남권,39942,Town
107,전라남도,화순군,786909881,69817277,717092604,Jeollanam-do,Hwasun,35.0645029,126.9864799,35.216826,127.2020977,34.8232381,126.8237045,35.216826,127.2020977,34.8232381,126.8237045,호남권,60566,Town
108,전라남도,장흥군,622322408,189851416,432470992,Jeollanam-do,Jangheung,34.6816856,126.9069278,34.8772527,127.0674405,34.413575,126.7930445,34.8772527,127.0674405,34.413575,126.7930445,호남권,36275,Town
109,전라남도,강진군,500917924,50872935,450044989,Jeollanam-do,Gangjin,34.6420774,126.767261,34.7864642,126.8839003,34.4329949,126.6531586,34.7864642,126.8839003,34.4329949,126.6531586,호남권,33637,Town
110,전라남도,해남군,1031368962,65200787,966168175,Jeollanam-do,Haenam,34.5732516,126.5989274,34.7729845,126.7543882,34.2758308,126.220955,34.7729845,126.7543882,34.2758308,126.220955,호남권,67123,Town
111,전라남도,영암군,604171129,148315363,455855766,Jeollanam-do,Yeongam,34.8001685,126.6967918,34.9465624,126.859947,34.662242,126.350588,34.9465624,126.859947,34.662242,126.350588,호남권,57679,Town
112,전라남도,무안군,449730899,147137115,302593784,Jeollanam-do,Muan,34.9904542,126.4816856,35.1798311,126.5546817,34.7686994,126.2309304,35.1798311,126.5546817,34.7686994,126.2309304,호남권,81420,Town
113,전라남도,함평군,392105946,40226906,351879040,Jeollanam-do,Hampyeong,35.0659399,126.5165524,35.2357295,126.6723938,34.9730906,126.3601646,35.2357295,126.6723938,34.9730906,126.3601646,호남권,30948,Town
114,전라남도,영광군,474960398,171752056,303208342,Jeollanam-do,Yeonggwang,35.2771719,126.5119874,35.4424828,126.6444559,35.1579149,125.9480435,35.4424828,126.6444559,35.1579149,125.9480435,호남권,49670,Town
115,전라남도,장성군,518398910,69519964,448878946,Jeollanam-do,Jangseong,35.3018333,126.7848541,35.4890732,126.9267337,35.1908309,126.5834625,35.4890732,126.9267337,35.1908309,126.5834625,호남권,41663,Town
116,전라남도,완도군,396444766,114546341,281898425,Jeollanam-do,Wando,34.3110596,126.7550541,34.5031284,127.2127407,33.9031904,126.3351135,34.5031284,127.2127407,33.9031904,126.3351135,호남권,48332,Town
